round,train_auc,val_auc,train_loss,val_loss
130,0.9998645171090528,0.99864710044749,0.02260074848431684,0.02407893779419667
131,0.9998683821329413,0.9986618061020349,0.0223285228400406,0.02372811804193922
132,0.999871158766622,0.9986642694438305,0.02210838681381952,0.02352185606816762
133,0.9998755838338566,0.998658371476142,0.02180778660978863,0.02311070133288893
134,0.9998777172344416,0.9986523205828723,0.02165252771206809,0.02295815085116144
135,0.9998793119029689,0.9986702769393001,0.0214406035279545,0.02273375157606236
136,0.9998838017695012,0.9986995208568753,0.02097969378986503,0.02226841787336491
137,0.9998848795581544,0.9987133895538469,0.02078349129048386,0.02207926122223253
138,0.9998871961060033,0.9987417241841822,0.0205240498697812,0.02181381320937483
139,0.9998890128662805,0.9987435572245954,0.02036878150107917,0.02165463536051474
140,0.9998902576835075,0.9987387194031664,0.02029788165841687,0.02155437953105585
141,0.9998922293562961,0.998742067233459,0.02010491919111872,0.02128812014430578
142,0.9998932961106781,0.9987469567189359,0.01999772053576214,0.02119917398980429
143,0.9998960656045365,0.998759703272791,0.01971767623884814,0.02096665045744693
144,0.9999000310186558,0.9987647456838491,0.01943771919650397,0.02071121591686105
145,0.9999019014357805,0.9987674900780643,0.01925779655190228,0.02054295073225692
146,0.9999050955327164,0.9987650598012593,0.0189452251066255,0.02029117207441997
147,0.9999077293699481,0.998767064366311,0.01864941565142419,0.01996539772136827
148,0.9999088480503118,0.9987683704334376,0.01855764235250638,0.01987616716081912
149,0.9999100341262721,0.9987648448788207,0.01843954579903891,0.01975085865771468
150,0.9999114230380977,0.9987606600909549,0.01830730814578714,0.01947056646009926
151,0.9999142924894703,0.9987580045589017,0.01804254802134957,0.01923719709828036
152,0.9999159298887531,0.9987661013484614,0.01790193615803636,0.01901953494946379
153,0.9999175024887382,0.9987747850416033,0.01778726845106001,0.01877955804710478
154,0.9999190500993447,0.998767609938655,0.01764848782151483,0.01864579996591873
155,0.9999211139407505,0.9987788437691927,0.01736924537098427,0.01838763954522647
156,0.9999216053985294,0.9987777650238762,0.01732261693779105,0.01835042260942599
157,0.999924602393094,0.9987753843445569,0.01705091852589661,0.01807869380016905
158,0.9999265160818699,0.9987678331273412,0.01689043158946816,0.01790491020684326
159,0.9999287116854536,0.9987724870247604,0.01662702577258534,0.01768333950380984
160,0.9999291899453789,0.998774493656374,0.01657952609381549,0.01765355459768244
161,0.9999299001413549,0.9987789925616501,0.01651449100337641,0.01759737807236167
162,0.9999311683252735,0.9987739005531062,0.01640617874588263,0.01750054318345155
